sentence,frame,target,Agent,Issue,Side,Position,Frequency,Time,Place,Support_rate
"To let companies sell your internet data to the highest bidder without your consent, Congresswoman Martha McSally voted.",Vote,"(114, 119)","(85, 113)","(0, 83)",,,,,,
"I have never voted to raise your taxes, making me the only one onstage.",Vote,"(13, 18)","(0, 1)","(19, 38)",,,"(7, 12)",,,
"To raise your taxes, I am the only one onstage who has never voted.",Vote,"(61, 66)","(5, 6)","(0, 19)",,,"(55, 60)",,,
"Never have I, the only one onstage, voted to raise your taxes.",Vote,"(36, 41)","(11, 12)","(42, 61)",,,"(0, 5)",,,
"Mitch McConnell, not to have punitive actions against China for human rights violations, was one of the few senators that voted after Tiananmen Square.",Vote,"(122, 127)","(0, 15)","(17, 87)",,,,"(128, 150)",,
"Not to have punitive actions against China for human rights violations was the choice made by Mitch McConnell after Tiananmen Square when he voted, unlike many other senators.",Vote,"(141, 146)","(94, 109)","(0, 70)",,,,"(110, 132)",,
"Not to have punitive actions against China for human rights violations after Tiananmen Square was what Mitch McConnell voted for, one of the few senators.",Vote,"(119, 124)","(103, 118)","(0, 70)",,,,"(71, 93)",,
"After Tiananmen Square, Mitch McConnell was one of the few senators that voted not to have punitive actions against China for human rights violations.",Vote,"(73, 78)","(24, 39)","(79, 149)",,,,"(0, 22)",,
"After Tiananmen Square, not to have punitive actions against China for human rights violations was voted by Mitch McConnell, one of the few senators.",Vote,"(99, 104)","(108, 123)","(24, 94)",,,,"(0, 22)",,
"Bill Nelson, requiring Iran to recognize Israel and release American hostages, voted against.",Vote,"(79, 84)","(0, 11)","(13, 77)",,"(85, 92)",,,,
"Against requiring Iran to recognize Israel and release American hostages, Bill Nelson voted.",Vote,"(86, 91)","(74, 85)","(8, 72)",,"(0, 7)",,,,
Dean Heller has voted for a GOP bill that funded efforts to revive Yucca Mountain.,Vote,"(16, 21)","(0, 11)","(26, 81)",,"(22, 25)",,,,
A GOP bill that funded efforts to revive Yucca Mountain was voted for by Dean Heller.,Vote,"(60, 65)","(73, 84)","(0, 55)",,"(25, 28)",,,,
"For supporting a GOP bill that funded efforts to revive Yucca Mountain, Dean Heller has voted.",Vote,"(88, 93)","(72, 83)","(15, 70)",,"(0, 3)",,,,
"Voted for a GOP bill that funded efforts to revive Yucca Mountain, Dean Heller has.",Vote,"(0, 5)","(67, 78)","(10, 65)",,"(6, 9)",,,,
Gwen Graham voted against President Obama 52 percent of the time.,Vote,"(12, 17)","(0, 11)",,"(26, 41)","(18, 25)",,,,"(42, 64)"
"Gwen Graham, against President Obama, voted 52 percent of the time.",Vote,"(38, 43)","(0, 11)",,"(21, 36)","(13, 20)",,,,"(44, 66)"
"Gwen Graham, 52 percent of the time, voted against President Obama.",Vote,"(37, 42)","(0, 11)",,"(51, 66)","(43, 50)",,,,"(13, 35)"
President Obama was voted against 52 percent of the time by Gwen Graham.,Vote,"(20, 25)","(60, 71)",,"(0, 15)","(26, 33)",,,,"(34, 56)"
President Obama was voted against by Gwen Graham 52 percent of the time.,Vote,"(20, 25)","(37, 48)",,"(0, 15)","(26, 33)",,,,"(49, 71)"
"52 percent of the time, Gwen Graham voted against President Obama.",Vote,"(36, 41)","(24, 35)",,"(50, 65)","(42, 49)",,,,"(0, 22)"
"Against President Obama, Gwen Graham voted 52 percent of the time.",Vote,"(37, 42)","(25, 36)",,"(8, 23)","(0, 7)",,,,"(43, 65)"
"Against President Obama, 52 percent of the time, Gwen Graham voted.",Vote,"(61, 66)","(49, 60)",,"(8, 23)","(0, 7)",,,,"(25, 47)"
"Against President Obama 52 percent of the time, Gwen Graham voted.",Vote,"(60, 65)","(48, 59)",,"(8, 23)","(0, 7)",,,,"(24, 46)"
"52 percent of the time, President Obama was voted against by Gwen Graham.",Vote,"(44, 49)","(61, 72)",,"(24, 39)","(50, 57)",,,,"(0, 22)"
"52 percent of the time, President Obama, against, Gwen Graham voted.",Vote,"(62, 67)","(50, 61)",,"(24, 39)","(41, 48)",,,,"(0, 22)"
"To make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest, Jim Renacci has been a lobbyist even while in Congress and voted.",Vote,"(173, 178)","(114, 125)","(0, 112)",,,,,,
Rep. Dan Donovan voted for Tax Cuts.,Vote,"(17, 22)","(0, 16)","(27, 35)",,"(23, 26)",,,,
Tax Cuts were voted for by Rep. Dan Donovan.,Vote,"(14, 19)","(27, 43)","(0, 8)",,"(20, 23)",,,,
"For Tax Cuts, Rep. Dan Donovan voted.",Vote,"(31, 36)","(14, 30)","(4, 12)",,"(0, 3)",,,,
Marsha Blackburn military pay raise against voted.,Vote,"(44, 49)","(0, 16)","(17, 35)",,"(36, 43)",,,,
Military pay raise was voted against by Marsha Blackburn.,Vote,"(23, 28)","(40, 56)","(0, 18)",,"(29, 36)",,,,
"Against military pay raise, Marsha Blackburn voted.",Vote,"(45, 50)","(28, 44)","(8, 26)",,"(0, 7)",,,,
"Against the military pay raise, Marsha Blackburn voted.",Vote,"(49, 54)","(32, 48)","(12, 30)",,"(0, 7)",,,,
Sherrod Brown voted for stricter removal standards for voter registration in 1978 and then enforced them as Secretary of State.,Vote,"(14, 19)","(0, 13)","(24, 73)",,"(20, 23)",,"(74, 81)",,
"In 1978, Sherrod Brown voted for stricter removal standards for voter registration and then enforced them as Secretary of State.",Vote,"(23, 28)","(9, 22)","(33, 82)",,"(29, 32)",,"(0, 7)",,
Stricter removal standards for voter registration were voted for by Sherrod Brown in 1978 and then enforced as Secretary of State.,Vote,"(55, 60)","(68, 81)","(0, 49)",,"(27, 30)",,"(82, 89)",,
"Stricter removal standards for voter registration were voted for by Sherrod Brown in 1978, and then enforced them as Secretary of State.",Vote,"(55, 60)","(68, 81)","(0, 49)",,"(27, 30)",,"(82, 89)",,
"Stricter removal standards for voter registration were supported by Sherrod Brown in 1978, voting for them, and then enforcing them as Secretary of State.",Vote,"(91, 97)","(68, 81)","(0, 49)",,"(27, 30)",,"(82, 89)",,
"Stricter removal standards for voter registration were voted for by Sherrod Brown in 1978, and then as Secretary of State he enforced them.",Vote,"(55, 60)","(68, 81)","(0, 49)",,"(27, 30)",,"(82, 89)",,
"Stricter removal standards for voter registration were voted for by Sherrod Brown in 1978, and then enforced as Secretary of State.",Vote,"(55, 60)","(68, 81)","(0, 49)",,"(27, 30)",,"(82, 89)",,
"Stricter removal standards for voter registration were voted for by Sherrod Brown in 1978, and then enforced by him as Secretary of State.",Vote,"(55, 60)","(68, 81)","(0, 49)",,"(27, 30)",,"(82, 89)",,
"Voted for stricter removal standards for voter registration in 1978, Sherrod Brown then enforced them as Secretary of State.",Vote,"(0, 5)","(69, 82)","(10, 59)",,"(6, 9)",,"(60, 67)",,
"Voted for stricter removal standards for voter registration, Sherrod Brown enforced them as Secretary of State in 1978.",Vote,"(0, 5)","(61, 74)","(10, 59)",,"(6, 9)",,"(111, 118)",,
"For stricter removal standards for voter registration in 1978, Sherrod Brown voted  and then enforced them as Secretary of State.",Vote,"(77, 82)","(63, 76)","(4, 53)",,"(0, 3)",,"(54, 61)",,
"In 1978, for stricter removal standards for voter registration, Sherrod Brown voted and then enforced them as Secretary of State.",Vote,"(78, 83)","(64, 77)","(13, 62)",,"(9, 12)",,"(0, 7)",,
"In an agricultural bill to give food stamps to illegal immigrants, Ron DeSantis voted.",Vote,"(80, 85)","(67, 79)","(0, 65)",,,,,,
Sen. Bill Nelson voted 349 times for higher taxes.,Vote,"(17, 22)","(0, 16)","(37, 49)",,"(33, 36)","(23, 32)",,,
"Sen. Bill Nelson, higher taxes 349 times, voted for.",Vote,"(42, 47)","(0, 16)","(18, 30)",,"(48, 51)","(31, 40)",,,
"Sen. Bill Nelson, 349 times, voted for higher taxes.",Vote,"(29, 34)","(0, 16)","(39, 51)",,"(35, 38)","(18, 27)",,,
Higher taxes were voted for 349 times by Sen. Bill Nelson.,Vote,"(18, 23)","(41, 57)","(0, 12)",,"(24, 27)","(28, 37)",,,
Higher taxes were voted for by Sen. Bill Nelson 349 times.,Vote,"(18, 23)","(31, 47)","(0, 12)",,"(24, 27)","(48, 57)",,,
"For higher taxes, Sen. Bill Nelson voted 349 times.",Vote,"(35, 40)","(18, 34)","(4, 16)",,"(0, 3)","(41, 50)",,,
"For higher taxes, 349 times were voted by Sen. Bill Nelson.",Vote,"(33, 38)","(42, 58)","(4, 16)",,"(0, 3)","(18, 27)",,,
"For higher taxes, 349 times, Sen. Bill Nelson voted.",Vote,"(46, 51)","(29, 45)","(4, 16)",,"(0, 3)","(18, 27)",,,
349 times Sen. Bill Nelson voted for higher taxes.,Vote,"(27, 32)","(10, 26)","(37, 49)",,"(33, 36)","(0, 9)",,,
"349 times, Sen. Bill Nelson voted for higher taxes.",Vote,"(28, 33)","(11, 27)","(38, 50)",,"(34, 37)","(0, 9)",,,
Sen. Tim Kaine voted against giving more money to our men and women who are in the military service.,Vote,"(15, 20)","(0, 14)","(29, 99)",,"(21, 28)",,,,
"Giving more money to our men and women who are in the military service, Sen. Tim Kaine even voted against and against our housing allowance President Trump proposed the increase to $700 billion to our military budget, which included the 355-ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet.",Vote,"(92, 97)","(72, 86)","(0, 70)",,"(98, 105)",,,,
"Giving more money to our men and women who are in the military service, Sen. Tim Kaine voted against and also against our housing allowance despite President Trump proposing the increase to $ 700 billion to our military budget, which included the 355-ship Navy, a military pay increase, and a modest housing allowance.",Vote,"(87, 92)","(72, 86)","(0, 70)",,"(93, 100)",,,,
"Against giving more money to our men and women who are in the military service, Sen. Tim Kaine even voted against our housing allowance and President Trump's proposed increase to $700 billion of our military budget, which included the 355-ship Navy, a military pay increase, and a yet even more modest housing allowance.",Vote,"(100, 105)","(80, 94)","(8, 78)",,"(0, 7)",,,,
Against giving more money to our men and women who are in the military service voted Sen. Tim Kaine.,Vote,"(79, 84)","(85, 99)","(8, 78)",,"(0, 7)",,,,
Sherrod Brown votes with Elizabeth Warren almost 95 plus percent.,Vote,"(14, 19)","(0, 13)",,"(20, 41)",,,,,"(42, 64)"
"With Elizabeth Warren, Sherrod Brown votes almost 95 plus percent.",Vote,"(37, 42)","(23, 36)",,"(0, 21)",,,,,"(43, 65)"
"With Elizabeth Warren, almost 95 plus percent is the rate at which Sherrod Brown votes, aligning with Chuck Schumer 97 percent of the time.",Vote,"(81, 86)","(67, 80)",,"(0, 21)",,,,,"(23, 45)"
"Almost 95 plus percent, Sherrod Brown votes 97 percent with Chuck Schumer, with Elizabeth Warren.",Vote,"(38, 43)","(24, 37)",,"(75, 96)",,,,,"(0, 22)"
"Almost 95 plus percent with Elizabeth Warren, Sherrod Brown votes 97 percent with Chuck Schumer.",Vote,"(60, 65)","(46, 59)",,"(23, 44)",,,,,"(0, 22)"
I've always voted keeping the government open for.,Vote,"(12, 17)","(0, 1)","(18, 45)",,"(46, 49)",,,,
"Keeping the government open, I've always voted for it.",Vote,"(41, 46)","(4, 5)","(0, 27)",,"(47, 50)",,,,
Keeping the government open is the issue I've always voted for.,Vote,"(53, 58)","(4, 5)","(0, 27)",,"(59, 62)",,,,
"For keeping the government open, I 've always voted.",Vote,"(46, 51)","(8, 9)","(4, 31)",,"(0, 3)",,,,
"For keeping the government open, I've always voted.",Vote,"(45, 50)","(8, 9)","(4, 31)",,"(0, 3)",,,,
"To increase the retirement age, Congressman DeSantis voted to cut Social Security and Medicare.",Vote,"(53, 58)","(32, 52)","(0, 30)",,,,,,
